index,left,top,right,bottom,section,line,content
0,43.75,50,115.203125,120.0,question,0,What
1,115.203125,50,178.09375,120.0,question,0,does
2,178.09375,50,222.828125,120.0,question,0,the
3,222.828125,50,269.328125,120.0,question,0,key
4,269.328125,50,392.484375,120.0,question,0,symbolize
5,392.484375,50,433.6875,120.0,question,0,for
6,433.6875,50,529.015625,120.0,question,0,Emma?
7,93.46875,190.0,119.046875,260.0,option:0,0,A
8,119.046875,190.0,172.171875,260.0,option:0,0,way
9,172.171875,190.0,202.9765625,260.0,option:0,0,to
10,202.9765625,190.0,273.1640625,260.0,option:0,0,relive
11,273.1640625,190.0,319.5,260.0,option:0,0,her
12,319.5,190.0,375.515625,260.0,option:0,0,past
13,375.515625,190.0,472.84375,260.0,option:0,0,failures
14,93.46875,260.0,119.3828125,330.0,option:1,0,A
15,119.3828125,260.0,207.328125,330.0,option:1,0,reward
16,207.328125,260.0,248.8046875,330.0,option:1,0,for
17,248.8046875,260.0,295.1796875,330.0,option:1,0,her
18,295.1796875,260.0,355.96875,330.0,option:1,0,hard
19,355.96875,260.0,424.34375,330.0,option:1,0,work
20,93.625,330.0,167.03125,400.0,option:2,0,Proof
21,167.03125,330.0,215.2890625,400.0,option:2,0,she
22,215.2890625,330.0,240.171875,400.0,option:2,0,is
23,240.171875,330.0,318.453125,400.0,option:2,0,better
24,318.453125,330.0,378.96875,400.0,option:2,0,than
25,378.96875,330.0,464.65625,400.0,option:2,0,others
26,93.46875,400.0,119.21875,470.0,option:3,0,A
27,119.21875,400.0,208.046875,470.0,option:3,0,chance
28,208.046875,400.0,249.3125,470.0,option:3,0,for
29,249.3125,400.0,270.0546875,470.0,option:3,0,a
30,270.0546875,400.0,325.21875,470.0,option:3,0,new
31,325.21875,400.0,454.265625,470.0,option:3,0,beginning
