index,left,top,right,bottom,section,line,content
0,43.75,50,115.0,120.0,question,0,What
1,115.0,50,201.90625,120.0,question,0,special
2,201.90625,50,279.125,120.0,question,0,ability
3,279.125,50,341.953125,120.0,question,0,does
4,341.953125,50,411.625,120.0,question,0,Emily
5,411.625,50,515.46875,120.0,question,0,discover
6,515.46875,50,563.7265625,120.0,question,0,she
7,563.7265625,50,625.546875,120.0,question,0,has?
8,93.21875,190.0,146.515625,260.0,option:0,0,She
9,146.515625,190.0,194.6640625,260.0,option:0,0,can
10,194.6640625,190.0,254.515625,260.0,option:0,0,read
11,254.515625,190.0,358.125,260.0,option:0,0,people's
12,358.125,190.0,447.015625,260.0,option:0,0,minds.
13,93.21875,260.0,146.515625,330.0,option:1,0,She
14,146.515625,260.0,194.6875,330.0,option:1,0,can
15,194.6875,260.0,283.171875,330.0,option:1,0,predict
16,283.171875,260.0,327.53125,330.0,option:1,0,the
17,327.53125,260.0,417.140625,330.0,option:1,0,future.
18,93.03125,330.0,146.03125,400.0,option:2,0,Her
19,146.03125,330.0,235.453125,400.0,option:2,0,writing
20,235.453125,330.0,283.421875,400.0,option:2,0,can
21,283.421875,330.0,361.0234375,400.0,option:2,0,shape
22,361.0234375,330.0,448.953125,400.0,option:2,0,reality.
23,93.03125,400.0,146.1875,470.0,option:3,0,Her
24,146.1875,400.0,261.9765625,470.0,option:3,0,speeches
25,261.9765625,400.0,347.859375,470.0,option:3,0,inspire
26,347.859375,400.0,505.34375,470.0,option:3,0,superhuman
27,505.34375,400.0,622.046875,470.0,option:3,0,strength.
